locus_tag	ftype	length_bp	gene	EC_number	COG	product
KEIGPOEO_00799	CDS	918	oxyR_2			Hydrogen peroxide-inducible genes activator
KEIGPOEO_00800	CDS	1284	lgoT_1			putative L-galactonate transporter
KEIGPOEO_00801	CDS	1215	rspA_1		COG4948	Starvation-sensing protein RspA
KEIGPOEO_00802	CDS	1374	argH	4.3.2.1	COG0165	Argininosuccinate lyase
KEIGPOEO_00803	CDS	777	argB	2.7.2.8	COG0548	Acetylglutamate kinase
KEIGPOEO_00804	CDS	1005	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
KEIGPOEO_00805	CDS	1152	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
KEIGPOEO_00806	CDS	2652	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
KEIGPOEO_00807	CDS	1734	eptC	2.7.-.-	COG2194	Phosphoethanolamine transferase EptC
KEIGPOEO_00808	CDS	852	rhaS_1			HTH-type transcriptional activator RhaS
KEIGPOEO_00809	CDS	342	frwD	2.7.1.202	COG1445	PTS system fructose-like EIIB component 3
KEIGPOEO_00810	CDS	879	bssD	1.97.1.-		Benzylsuccinate synthase activating enzyme
KEIGPOEO_00811	CDS	2298	cutC_1	4.3.99.4	COG1882	Choline trimethylamine-lyase
KEIGPOEO_00812	CDS	321	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
KEIGPOEO_00813	CDS	1080	manP_1		COG1299	PTS system mannose-specific EIIBCA component
KEIGPOEO_00814	CDS	2502	fryA_1		COG1080	Multiphosphoryl transfer protein 1
KEIGPOEO_00815	CDS	663	fsaB	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 2
KEIGPOEO_00816	CDS	1104	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
KEIGPOEO_00817	CDS	618				hypothetical protein
KEIGPOEO_00818	CDS	906	yijE			putative cystine transporter YijE
KEIGPOEO_00819	CDS	2181	katG	1.11.1.21	COG0376	Catalase-peroxidase
KEIGPOEO_00820	CDS	891	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
KEIGPOEO_00821	CDS	2433	metL		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 2
KEIGPOEO_00822	CDS	1161	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
KEIGPOEO_00823	CDS	318	metJ		COG3060	Met repressor
KEIGPOEO_00824	CDS	450				hypothetical protein
KEIGPOEO_00825	CDS	180				hypothetical protein
KEIGPOEO_00826	CDS	273			COG1662	IS1 family transposase IS1H
KEIGPOEO_00827	CDS	315				hypothetical protein
KEIGPOEO_00828	CDS	237				hypothetical protein
KEIGPOEO_00829	CDS	567	rhsD_1		COG3209	Protein RhsD
KEIGPOEO_00830	CDS	450	rhsC_1		COG3209	Protein RhsC
KEIGPOEO_00831	CDS	843	yibA			Protein YibA
KEIGPOEO_00832	CDS	384				hypothetical protein
KEIGPOEO_00833	CDS	3966	rhsC_2		COG3209	Protein RhsC
KEIGPOEO_00834	CDS	207				hypothetical protein
KEIGPOEO_00835	CDS	1674	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
KEIGPOEO_00836	CDS	2049	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
KEIGPOEO_00837	CDS	573	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
KEIGPOEO_00838	CDS	2685	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
KEIGPOEO_00839	CDS	678	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
KEIGPOEO_00840	CDS	105				hypothetical protein
KEIGPOEO_00841	CDS	2199	speF	4.1.1.17	COG1982	Inducible ornithine decarboxylase
KEIGPOEO_00842	CDS	1320	potE		COG0531	Putrescine transporter PotE
KEIGPOEO_00843	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
KEIGPOEO_00844	CDS	546	seqA		COG3057	Negative modulator of initiation of replication
KEIGPOEO_00845	CDS	765	ybfF	3.1.-.-	COG0596	Esterase YbfF
KEIGPOEO_00846	CDS	363	ybfE			putative protein YbfE
KEIGPOEO_00847	CDS	531	fldA		COG0716	Flavodoxin 1
KEIGPOEO_00848	CDS	447	fur		COG0735	Ferric uptake regulation protein
KEIGPOEO_00849	CDS	327	chiQ			putative lipoprotein ChiQ
KEIGPOEO_00850	CDS	1407	chiP			Chitoporin
KEIGPOEO_00851	CDS	1665	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
KEIGPOEO_00852	CDS	123				hypothetical protein
KEIGPOEO_00853	CDS	1947	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
KEIGPOEO_00854	CDS	801	nagB_1	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
KEIGPOEO_00855	CDS	1149	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
KEIGPOEO_00856	CDS	1221	nagC		COG1940	N-acetylglucosamine repressor
KEIGPOEO_00857	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
KEIGPOEO_00858	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
KEIGPOEO_00859	tRNA	77				tRNA-Met(cat)
KEIGPOEO_00860	tRNA	75				tRNA-Gln(ctg)
KEIGPOEO_00861	tRNA	75				tRNA-Gln(ctg)
KEIGPOEO_00862	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
KEIGPOEO_00863	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
KEIGPOEO_00864	CDS	1080	ybeZ		COG1702	PhoH-like protein
KEIGPOEO_00865	CDS	468	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
KEIGPOEO_00866	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
KEIGPOEO_00867	CDS	1539	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
KEIGPOEO_00868	CDS	786				hypothetical protein
KEIGPOEO_00869	CDS	1077	glpG_1	3.4.21.105		Rhomboid protease GlpG
KEIGPOEO_00870	CDS	909	gltI		COG0834	Glutamate/aspartate import solute-binding protein
KEIGPOEO_00871	CDS	741	gltJ		COG0765	Glutamate/aspartate import permease protein GltJ
KEIGPOEO_00872	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
KEIGPOEO_00873	CDS	726	glnQ_2			Glutamine transport ATP-binding protein GlnQ
KEIGPOEO_00874	CDS	936	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
KEIGPOEO_00875	CDS	1671	hscC		COG0443	Chaperone protein HscC
KEIGPOEO_00876	CDS	1452				hypothetical protein
KEIGPOEO_00877	CDS	708				hypothetical protein
KEIGPOEO_00878	CDS	555	ybeT		COG0790	Sel1-repeat-containing protein YbeT
KEIGPOEO_00879	CDS	1428				hypothetical protein
KEIGPOEO_00880	CDS	708				hypothetical protein
KEIGPOEO_00881	CDS	978	esiB			Secretory immunoglobulin A-binding protein EsiB
KEIGPOEO_00882	CDS	483				hypothetical protein
KEIGPOEO_00883	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
KEIGPOEO_00884	CDS	582	lptE		COG2980	LPS-assembly lipoprotein LptE
KEIGPOEO_00885	CDS	1032	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
KEIGPOEO_00886	CDS	642	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
KEIGPOEO_00887	CDS	612	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
KEIGPOEO_00888	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
KEIGPOEO_00889	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
KEIGPOEO_00890	CDS	1902	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
KEIGPOEO_00891	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
KEIGPOEO_00892	CDS	1089	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
KEIGPOEO_00893	CDS	1284	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
KEIGPOEO_00894	CDS	264				hypothetical protein
KEIGPOEO_00895	CDS	642	lipB	2.3.1.181	COG0321	Octanoyltransferase
KEIGPOEO_00896	CDS	954	ybdO_1			putative HTH-type transcriptional regulator YbdO
KEIGPOEO_00897	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
KEIGPOEO_00898	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
KEIGPOEO_00899	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
KEIGPOEO_00900	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
KEIGPOEO_00901	CDS	210	cspE			Cold shock-like protein CspE
KEIGPOEO_00902	CDS	561	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
KEIGPOEO_00903	CDS	1386	dcuD_1		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
KEIGPOEO_00904	CDS	681	dpiA		COG4565	Transcriptional regulatory protein DpiA
KEIGPOEO_00905	CDS	1659	dpiB	2.7.13.3	COG3290	Sensor histidine kinase DpiB
KEIGPOEO_00906	CDS	1059	citC	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
KEIGPOEO_00907	CDS	297	citD		COG3052	Citrate lyase acyl carrier protein
KEIGPOEO_00908	CDS	909	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
KEIGPOEO_00909	CDS	1533	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
KEIGPOEO_00910	CDS	552	citX	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
KEIGPOEO_00911	CDS	879	citG	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
KEIGPOEO_00912	CDS	1464	ttdT_1		COG0471	L-tartrate/succinate antiporter
KEIGPOEO_00913	CDS	807	rna	4.6.1.21	COG3719	Ribonuclease I
KEIGPOEO_00914	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
KEIGPOEO_00915	CDS	90	yldA			Protein YldA
KEIGPOEO_00916	CDS	1239		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
KEIGPOEO_00917	CDS	429	uspG		COG0589	Universal stress protein UP12
KEIGPOEO_00918	CDS	1596	ahpF	1.8.1.-	COG3634	Alkyl hydroperoxide reductase subunit F
KEIGPOEO_00919	CDS	564	ahpC	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
KEIGPOEO_00920	CDS	747	dsbG		COG1651	Thiol:disulfide interchange protein DsbG
KEIGPOEO_00921	CDS	903	ybdO_2			putative HTH-type transcriptional regulator YbdO
KEIGPOEO_00922	CDS	1221				hypothetical protein
KEIGPOEO_00923	CDS	630	ybdM		COG1475	putative protein YbdM
KEIGPOEO_00924	CDS	1161	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
KEIGPOEO_00925	CDS	1089	hcxA	1.1.1.-	COG0371	Hydroxycarboxylate dehydrogenase A
KEIGPOEO_00926	CDS	198				hypothetical protein
KEIGPOEO_00927	CDS	2106	cstA		COG1966	Peptide transporter CstA
KEIGPOEO_00928	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
KEIGPOEO_00929	CDS	747	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
KEIGPOEO_00930	CDS	858	entB	6.3.2.14	COG1535	Enterobactin synthase component B
KEIGPOEO_00931	CDS	1611	entE	6.3.2.14	COG1021	Enterobactin synthase component E
KEIGPOEO_00932	CDS	1176	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
KEIGPOEO_00933	CDS	957	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
KEIGPOEO_00934	CDS	1251	entS		COG0477	Enterobactin exporter EntS
KEIGPOEO_00935	CDS	1005	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
KEIGPOEO_00936	CDS	993	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
KEIGPOEO_00937	CDS	816	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
KEIGPOEO_00938	CDS	1134	fepE		COG3765	Ferric enterobactin transport protein FepE
KEIGPOEO_00939	CDS	3882	entF	2.7.7.-	COG1020	Enterobactin synthase component F
KEIGPOEO_00940	CDS	219	ybdZ		COG3251	Enterobactin biosynthesis protein YbdZ
KEIGPOEO_00941	CDS	1203	fes_2		COG2382	Enterochelin esterase
KEIGPOEO_00942	CDS	2241	fepA		COG4771	Ferrienterobactin receptor
KEIGPOEO_00943	CDS	630	entD	2.7.8.-	COG2977	Enterobactin synthase component D
KEIGPOEO_00944	CDS	141				hypothetical protein
KEIGPOEO_00945	CDS	1113			COG3385	IS4 family transposase IS421
KEIGPOEO_00946	CDS	153	hokE_1			Toxic protein HokE
KEIGPOEO_00947	CDS	1119	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
KEIGPOEO_00948	CDS	249				hypothetical protein
KEIGPOEO_00949	CDS	369				hypothetical protein
KEIGPOEO_00950	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
KEIGPOEO_00951	CDS	1248	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
KEIGPOEO_00952	CDS	1377	pheP		COG1113	Phenylalanine-specific permease
KEIGPOEO_00953	CDS	3144	cusA_1		COG3696	Cation efflux system protein CusA
KEIGPOEO_00954	CDS	1224	cusB_1			Cation efflux system protein CusB
KEIGPOEO_00955	CDS	333	cusF_1		COG5569	Cation efflux system protein CusF
KEIGPOEO_00956	CDS	1383	cusC_2		COG1538	Cation efflux system protein CusC
KEIGPOEO_00957	CDS	684	cusR_1		COG0745	Transcriptional regulatory protein CusR
KEIGPOEO_00958	CDS	1449	cusS_1	2.7.13.3	COG0642	Sensor histidine kinase CusS
KEIGPOEO_00959	CDS	1902	vgrG1_1	6.3.2.-	COG3501	Actin cross-linking toxin VgrG1
KEIGPOEO_00960	CDS	462				hypothetical protein
KEIGPOEO_00961	CDS	4863				hypothetical protein
KEIGPOEO_00962	CDS	222				hypothetical protein
KEIGPOEO_00963	CDS	312				hypothetical protein
KEIGPOEO_00964	CDS	1044				ISAs1 family transposase ISEc1
KEIGPOEO_00965	CDS	2238				hypothetical protein
KEIGPOEO_00966	CDS	2973	nfrA		COG0457	Bacteriophage adsorption protein A
KEIGPOEO_00967	CDS	891				hypothetical protein
KEIGPOEO_00968	CDS	762	rhaR_1			HTH-type transcriptional activator RhaR
KEIGPOEO_00969	tRNA	77				tRNA-Arg(tct)
KEIGPOEO_00970	CDS	633	bvgA			Virulence factors putative positive transcription regulator BvgA
KEIGPOEO_00971	CDS	516	sfmF			putative fimbrial-like protein SfmF
KEIGPOEO_00972	CDS	1008	sfmH			putative fimbrial-like protein SfmH
KEIGPOEO_00973	CDS	2610	sfmD		COG3188	Outer membrane usher protein SfmD
KEIGPOEO_00974	CDS	693	sfmC			putative fimbrial chaperone SfmC
KEIGPOEO_00975	CDS	543	sfmA			putative fimbrial-like protein SfmA
KEIGPOEO_00976	CDS	867	folD		COG0190	Bifunctional protein FolD protein
KEIGPOEO_00977	CDS	213	ybcJ		COG2501	putative protein YbcJ
KEIGPOEO_00978	CDS	522	ybcI		COG1988	Inner membrane protein YbcI
KEIGPOEO_00979	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
KEIGPOEO_00980	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
KEIGPOEO_00981	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
KEIGPOEO_00982	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
KEIGPOEO_00983	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
KEIGPOEO_00984	CDS	894	arcC1_1	2.7.2.2		Carbamate kinase 1
KEIGPOEO_00985	CDS	816				hypothetical protein
KEIGPOEO_00986	CDS	1260				hypothetical protein
KEIGPOEO_00987	CDS	1668	fdrA_1		COG0074	Protein FdrA
KEIGPOEO_00988	CDS	1050	allD	1.1.1.350	COG2055	Ureidoglycolate dehydrogenase (NAD(+))
KEIGPOEO_00989	CDS	1236	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
KEIGPOEO_00990	CDS	786	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
KEIGPOEO_00991	CDS	1146	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
KEIGPOEO_00992	CDS	1302	ybbY		COG2233	Putative purine permease YbbY
KEIGPOEO_00993	CDS	1362	allB	3.5.2.5	COG0044	Allantoinase
KEIGPOEO_00994	CDS	1455	ybbW		COG1953	Putative allantoin permease
KEIGPOEO_00995	CDS	879	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
KEIGPOEO_00996	CDS	777	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
KEIGPOEO_00997	CDS	1782	gcl	4.1.1.47	COG3960	Glyoxylate carboligase
KEIGPOEO_00998	CDS	816	allR		COG1414	HTH-type transcriptional repressor AllR
KEIGPOEO_00999	CDS	483	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
KEIGPOEO_01000	CDS	927	allS			HTH-type transcriptional activator AllS
KEIGPOEO_01001	CDS	1095	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
KEIGPOEO_01002	CDS	399				hypothetical protein
KEIGPOEO_01003	CDS	492				hypothetical protein
KEIGPOEO_01004	CDS	711				hypothetical protein
KEIGPOEO_01005	CDS	369	ybbC			putative protein YbbC
KEIGPOEO_01006	CDS	4290	rhsD_2		COG3209	Protein RhsD
KEIGPOEO_01007	CDS	2415				hypothetical protein
KEIGPOEO_01008	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
KEIGPOEO_01009	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
KEIGPOEO_01010	CDS	771				hypothetical protein
KEIGPOEO_01011	CDS	855	cnoX		COG3118	Chaperedoxin
KEIGPOEO_01012	CDS	780	fetB		COG0390	putative iron export permease protein FetB
KEIGPOEO_01013	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
KEIGPOEO_01014	CDS	918	qmcA		COG0330	Protein QmcA
KEIGPOEO_01015	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
KEIGPOEO_01016	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
KEIGPOEO_01017	CDS	1293	ybaT		COG0531	Inner membrane transport protein YbaT
KEIGPOEO_01018	CDS	933	glsA1	3.5.1.2	COG2066	Glutaminase 1
KEIGPOEO_01019	CDS	2505	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
KEIGPOEO_01020	CDS	396	ybaQ		COG3093	putative HTH-type transcriptional regulator YbaQ
KEIGPOEO_01021	CDS	795				hypothetical protein
KEIGPOEO_01022	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
KEIGPOEO_01023	CDS	1653	ushA		COG0737	Protein UshA
KEIGPOEO_01024	CDS	1221	fsr			Fosmidomycin resistance protein
KEIGPOEO_01025	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
KEIGPOEO_01026	CDS	1305	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
KEIGPOEO_01027	CDS	960	aes	3.1.1.-	COG0657	Acetyl esterase
KEIGPOEO_01028	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
KEIGPOEO_01029	CDS	705	adk	2.7.4.3	COG0563	Adenylate kinase
KEIGPOEO_01030	CDS	1875	htpG		COG0326	Chaperone protein HtpG
KEIGPOEO_01031	CDS	606	recR		COG0353	Recombination protein RecR
KEIGPOEO_01032	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
KEIGPOEO_01033	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
KEIGPOEO_01034	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
KEIGPOEO_01035	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
KEIGPOEO_01036	CDS	528	priC		COG3923	Primosomal replication protein N''
KEIGPOEO_01037	CDS	162				hypothetical protein
KEIGPOEO_01038	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
KEIGPOEO_01039	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
KEIGPOEO_01040	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
KEIGPOEO_01041	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
KEIGPOEO_01042	CDS	375	tomB			Hha toxicity modulator TomB
KEIGPOEO_01043	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
KEIGPOEO_01044	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
KEIGPOEO_01045	CDS	471	ylaC			Inner membrane protein YlaC
KEIGPOEO_01046	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
KEIGPOEO_01047	CDS	354	ybaA		COG5507	putative protein YbaA
KEIGPOEO_01048	CDS	312	atl		COG3695	DNA base-flipping protein
KEIGPOEO_01049	CDS	573	ybaY		COG3126	putative lipoprotein YbaY
KEIGPOEO_01050	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
KEIGPOEO_01051	CDS	1287	amtB			Ammonia channel
KEIGPOEO_01052	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
KEIGPOEO_01053	CDS	1782	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
KEIGPOEO_01054	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
KEIGPOEO_01055	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
KEIGPOEO_01056	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
KEIGPOEO_01057	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
KEIGPOEO_01058	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
KEIGPOEO_01059	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
KEIGPOEO_01060	CDS	372			COG1555	putative protein
KEIGPOEO_01061	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
KEIGPOEO_01062	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
KEIGPOEO_01063	CDS	2355	lon_2	3.4.21.53	COG0466	Lon protease
KEIGPOEO_01064	CDS	1275	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
KEIGPOEO_01065	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
KEIGPOEO_01066	CDS	1299	tig	5.2.1.8	COG0544	Trigger factor
KEIGPOEO_01067	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
KEIGPOEO_01068	CDS	579				hypothetical protein
KEIGPOEO_01069	CDS	1476	ampG_1		COG0477	Anhydromuropeptide permease
KEIGPOEO_01070	CDS	948	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
KEIGPOEO_01071	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
KEIGPOEO_01072	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
KEIGPOEO_01073	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
KEIGPOEO_01074	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
KEIGPOEO_01075	CDS	312				hypothetical protein
KEIGPOEO_01076	CDS	543				hypothetical protein
KEIGPOEO_01077	CDS	972				hypothetical protein
KEIGPOEO_01078	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
KEIGPOEO_01079	CDS	492				hypothetical protein
KEIGPOEO_01080	CDS	912	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
KEIGPOEO_01081	CDS	591	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
KEIGPOEO_01082	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
KEIGPOEO_01083	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
KEIGPOEO_01084	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
KEIGPOEO_01085	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
KEIGPOEO_01086	CDS	975	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
KEIGPOEO_01087	CDS	519	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
KEIGPOEO_01088	CDS	978	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
KEIGPOEO_01089	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
KEIGPOEO_01090	CDS	471	ribE	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
KEIGPOEO_01091	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
KEIGPOEO_01092	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
KEIGPOEO_01093	CDS	114	yajI_1			putative lipoprotein YajI
KEIGPOEO_01094	CDS	423	yajI_2			putative lipoprotein YajI
KEIGPOEO_01095	CDS	885	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
KEIGPOEO_01096	CDS	348				hypothetical protein
KEIGPOEO_01097	CDS	972	secF		COG0341	Protein translocase subunit SecF
KEIGPOEO_01098	CDS	1815	secD		COG0342	Protein translocase subunit SecD
KEIGPOEO_01099	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
KEIGPOEO_01100	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
KEIGPOEO_01101	CDS	1071	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
KEIGPOEO_01102	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
KEIGPOEO_01103	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
KEIGPOEO_01104	CDS	1374	proY		COG1113	Proline-specific permease ProY
KEIGPOEO_01105	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
KEIGPOEO_01106	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
KEIGPOEO_01107	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
KEIGPOEO_01108	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
KEIGPOEO_01109	CDS	3144	sbcC		COG0419	Nuclease SbcCD subunit C
KEIGPOEO_01110	CDS	1269	araJ		COG2814	Putative transporter AraJ
KEIGPOEO_01111	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
KEIGPOEO_01112	CDS	978	rdgC		COG2974	Recombination-associated protein RdgC
KEIGPOEO_01113	CDS	363				hypothetical protein
KEIGPOEO_01114	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
KEIGPOEO_01115	CDS	678				hypothetical protein
KEIGPOEO_01116	CDS	192	yaiA			putative protein YaiA
