CBM_14                  43.2   3.1e-11   1   1.3   5.3    Chitin binding Peritrophin-A domain

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
CBM_14                  42.6   4.8e-11     1   5.3     77    131     81    131      4     53     Chitin binding Peritrophin-A domain
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
CBM_14                  40.9   1.6e-10   1   1.3   5.2    Chitin binding Peritrophin-A domain

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
CBM_14                  40.3   2.5e-10     1   5.2     77    131     81    131      4     53     Chitin binding Peritrophin-A domain
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
MARVEL                  38.9   7.7e-10   1   1.6   5.1    Membrane-associating domain
DUF2157                 16.6    0.0048   2   2.2   3.9    Predicted membrane protein (DUF2157)
Bac_export_2            13.7     0.025   1   1.2   0.8    FlhB HrpN YscU SpaS Family
Arv1                    14.1     0.038   1   1.1   0.3    Arv1-like family
EpsG                    10.3      0.29   1   1.6   6.0    EpsG family
DUF2627                  7.5       5.6   3   2.5   8.7    Protein of unknown function (DUF2627)

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
MARVEL                  37.5     2e-09     1   5.1     36    197     39    196      4    143     Membrane-associating domain
Bac_export_2            13.3     0.032     1   0.8      3    174     46    166     76    197     FlhB HrpN YscU SpaS Family
Arv1                    13.8     0.045     1   0.3     11    176     91    167    119    191     Arv1-like family
DUF2157                 11.8      0.14     1   0.1     32    129     40    127     61    123     Predicted membrane protein (DUF2157)
DUF2627                 11.4      0.35     3   2.0    109    202    146    199     14     63     Protein of unknown function (DUF2627)
EpsG                     9.0      0.72     1   6.0     94    207    109    202    132    233     EpsG family
DUF2157                  5.9       9.5     2   0.6    133    200    141    197     67    112     Predicted membrane protein (DUF2157)
DUF2627                 -1.2     3e+03     2   0.0     82    111     90    103     38     51     Protein of unknown function (DUF2627)
DUF2627                 -2.7   8.6e+03     1   0.2     40     61     48     60     45     57     Protein of unknown function (DUF2627)
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
CBM_14                  44.2   1.5e-11   1   1.4   6.2    Chitin binding Peritrophin-A domain

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
CBM_14                  43.4   2.6e-11     1   6.2     69    123     73    123      4     53     Chitin binding Peritrophin-A domain
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
CBM_14                  42.6   4.6e-11   1   1.4   4.6    Chitin binding Peritrophin-A domain

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
CBM_14                  42.0   7.5e-11     1   4.6     69    123     73    123      4     53     Chitin binding Peritrophin-A domain
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
CBM_14                  39.7   3.6e-10   1   1.4   4.2    Chitin binding Peritrophin-A domain

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
CBM_14                  39.0   6.3e-10     1   4.2     66    124     74    124      5     53     Chitin binding Peritrophin-A domain
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
SNF2_N                  91.3   4.6e-26   1   1.3   0.3    SNF2 family N-terminal domain
HARP                    44.4   8.6e-12   1   1.5   0.1    HepA-related protein (HARP)
ResIII                  33.1   4.6e-08   4   3.4   0.1    Type III restriction enzyme, res subunit

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
SNF2_N                  90.6   7.4e-26     1   0.3    268    596    282    528     59    301     SNF2 family N-terminal domain
HARP                    43.4   1.8e-11     1   0.1    173    225    173    218      1     46     HepA-related protein (HARP)
ResIII                  26.5   5.2e-06     2   0.0    251    413    277    412     23    170     Type III restriction enzyme, res subunit
ResIII                   1.9   1.9e+02     3   0.0    419    519    425    518     65    139     Type III restriction enzyme, res subunit
ResIII                  -0.7   1.1e+03     4   0.2    526    619    590    617     43     70     Type III restriction enzyme, res subunit
ResIII                  -2.4     4e+03     1   0.0    174    242    186    218     85    120     Type III restriction enzyme, res subunit
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
Inositol_P             130.1     1e-37   1   1.6   0.0    Inositol monophosphatase family
MKLP1_Arf_bdg           97.8   3.3e-28   1   1.7   0.0    Arf6-interacting domain of mitotic kinesin-like protein 1

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
Inositol_P             128.8   2.5e-37     1   0.0    452    786    470    753      8    247     Inositol monophosphatase family
MKLP1_Arf_bdg           96.5   8.4e-28     1   0.0   1183   1287   1185   1285      3    105     Arf6-interacting domain of mitotic kinesin-like protein 1
# Sequence scores
# ---------------
#
# name                  bits   E-value   n   exp  bias    description
# ------------------- ------ --------- --- ----- -----    ---------------------
Clathrin                85.7   2.5e-24   3   3.2   7.6    Region in Clathrin and VPS
ANAPC4_WD40             17.1    0.0046   1   1.9   0.0    Anaphase-promoting complex subunit 4 WD40 domain
Vps39_1                 16.2    0.0089   4   3.7   7.4    Vacuolar sorting protein 39 domain 1
Med25                   15.8      0.01   2   2.5   0.2    Mediator complex subunit 25 PTOV activation and synapsin 2
DUF3128                 15.2      0.02   1   1.7   0.1    Protein of unknown function (DUF3128)
WD40                    15.3     0.027   1   2.3   0.0    WD domain, G-beta repeat
TPR_12                   9.0       1.5   5   4.3   4.5    Tetratricopeptide repeat

# Domain scores
# -------------
#
#  name                 bits   E-value   hit  bias env-st env-en ali-st ali-en hmm-st hmm-en     description
# ------------------- ------ --------- ----- ----- ------ ------ ------ ------ ------ ------      ---------------------
Clathrin                81.3   5.5e-23     3   2.3    652    792    654    791      3    142     Region in Clathrin and VPS
ANAPC4_WD40             15.4     0.016     1   0.0    112    203    117    180      9     71     Anaphase-promoting complex subunit 4 WD40 domain
DUF3128                 13.9     0.049     1   0.1    822    886    823    873     16     66     Protein of unknown function (DUF3128)
WD40                    13.0      0.14     1   0.0    136    173    145    172      9     35     WD domain, G-beta repeat
Vps39_1                 12.3      0.14     4   0.5    698    788    699    765      7     73     Vacuolar sorting protein 39 domain 1
Med25                   11.1      0.27     2   0.2    680    811    688    794     31    131     Mediator complex subunit 25 PTOV activation and synapsin 2
Clathrin                 5.0        19     2   0.0    502    644    512    614     14    110     Region in Clathrin and VPS
TPR_12                   5.0        28     3   0.0    587    613    589    610     47     68     Tetratricopeptide repeat
Vps39_1                  4.1        53     1   0.0    426    491    436    475     38     81     Vacuolar sorting protein 39 domain 1
Med25                    1.4   2.6e+02     1   0.0    257    280    264    277    122    135     Mediator complex subunit 25 PTOV activation and synapsin 2
Vps39_1                  1.2     4e+02     2   0.1    574    635    590    616     42     68     Vacuolar sorting protein 39 domain 1
Clathrin                 0.2   5.6e+02     1   0.0    432    493    436    467      6     37     Region in Clathrin and VPS
TPR_12                   0.3     8e+02     1   0.2    446    498    451    483     24     58     Tetratricopeptide repeat
TPR_12                   0.2   9.1e+02     5   0.0    736    756    741    753     13     25     Tetratricopeptide repeat
TPR_12                  -0.7   1.6e+03     2   0.0    486    508    489    505     25     41     Tetratricopeptide repeat
Vps39_1                 -1.2   2.2e+03     3   0.1    607    697    646    686     56     97     Vacuolar sorting protein 39 domain 1
TPR_12                  -1.2   2.4e+03     4   0.1    628    659    630    656      3     30     Tetratricopeptide repeat
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      peptides_augustus.aa
# Target file:     /Engels/mrayko/db/pfam/Pfam-A.hmm
# Option settings: hmmscan -o peptides_augustus_hmm.out --tblout peptides_augustus_hmm_tblout.csv --domtblout peptides_augustus_hmm_domtblout.csv --pfamtblout peptides_augustus_hmm_pfamtblout.csv /Engels/mrayko/db/pfam/Pfam-A.hmm peptides_augustus.aa 
# Current dir:     /Bmo/jyakovleva/miniprojects/project4
# Date:            Wed Feb 26 13:40:29 2020
# [ok]
